Timestamp,Age,Gender,Income,Education,Used Freelance,Ease of aquiring freelance,Trust in freelance,Frequency of custom products,Wanted product that doesn�t exist,Benefit from customization,App interest,Matching preference,Making/buying preference,Factors
3/14/19 13:05,18-25,Female,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Art, Home decor, Furniture, Ski gear",5,Be matched,Learn to make it myself,"Turnaround/shipping times, Trustworthiness, Price"
3/14/19 13:17,60+,Female,"$100,000-149,000","Some college, no degree",Yes,Somewhat difficult,Very trustworthy,1-2 times per month,I'm not sure,"Home decor, Clothing, Jewelry",4,Be matched,Learn to make it myself,"Reputation, Trustworthiness, Portfolio/sample work"
3/14/19 13:21,50-60,Female,$150k+,Bachelor's Degree,Yes,Somewhat easy,Very trustworthy,1-2 times per month,Yes,Art,1,Find them myself,Buy it and let someone else make it,"Turnaround/shipping times, Portfolio/sample work, Price"
3/14/19 13:26,50-60,Male,$150k+,"Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",7 or more times per month,Yes,Beer,1,Find them myself,No preference,Experience
3/14/19 13:28,50-60,Female,Prefer not to say,"Professional Degree (MD, DDS, etc.)",Yes,Neutral,Very trustworthy,Never,Yes,"Art, Home decor, Jewelry",2,Find them myself,Buy it and let someone else make it,"Experience, Reputation, Trustworthiness, Portfolio/sample work"
3/14/19 13:38,40-50,Female,Prefer not to say,Bachelor's Degree,Yes,Somewhat easy,Somewhat trustworthy,Never,Yes,"Home decor, Clothing, Pet supplies",4,Find them myself,Learn to make it myself,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/14/19 14:32,18-25,Male,$150k+,High School or equivalent (GED),No,"N/A, I haven't hired freelance workers before",Not trustworthy at all,Never,Yes,Clothing,1,No preference,Learn to make it myself,Reputation
3/14/19 14:43,40-50,Female,"$100,000-149,000",Bachelor's Degree,Yes,Somewhat difficult,Very trustworthy,1-2 times per month,Yes,"Home decor, Résumés/Templates, Pet supplies",3,Find them myself,Learn to make it myself,"Experience, Reputation, Portfolio/sample work, Price"
3/14/19 14:55,40-50,Male,"$100,000-149,000","Professional Degree (MD, DDS, etc.)",Yes,Somewhat difficult,Somewhat trustworthy,Never,Yes,"Art, Clothing, Résumés/Templates, Furniture, Jewelry",3,Be matched,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/14/19 15:05,18-25,Female,$150k+,Bachelor's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Art, Home decor, Clothing, Résumés/Templates, Jewelry",5,Be matched,No preference,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/14/19 15:05,40-50,Male,$150k+,Master's Degree,Yes,Very difficult,Somewhat trustworthy,3-4 times per month,Yes,"Art, Home decor, Résumés/Templates, Furniture",3,Find them myself,No preference,"Experience, Reputation, Portfolio/sample work, Price"
